2024-09-18 11:51:20.823 [info] Added views:workbench.panel.markers.view in workbench.panel.markers
2024-09-18 11:51:20.823 [info] Added views:workbench.panel.output in workbench.panel.output
2024-09-18 11:51:20.823 [info] Added views:terminal in terminal
2024-09-18 11:51:20.823 [info] Added views:outline in workbench.view.explorer
2024-09-18 11:51:20.823 [info] Added views:workbench.scm in workbench.view.scm
2024-09-18 11:51:20.823 [info] Added views:workbench.view.search in workbench.view.search
2024-09-18 11:51:20.823 [info] Added views:timeline in workbench.view.explorer
2024-09-18 11:51:20.823 [info] Added views:workbench.explorer.emptyView in workbench.view.explorer
2024-09-18 11:51:21.410 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-09-18 11:51:22.610 [info] Added views:~remote.forwardedPorts in ~remote.forwardedPortsContainer
2024-09-18 11:51:23.401 [info] Added views:workbench.panel.repl.view in workbench.panel.repl
2024-09-18 11:53:48.395 [info] Added views:workbench.views.extensions.installed,workbench.views.extensions.popular,extensions.recommendedList in workbench.view.extensions
2024-09-18 11:53:48.406 [info] Removed views:workbench.views.extensions.popular from workbench.view.extensions
2024-09-18 11:53:54.730 [info] Removed views:extensions.recommendedList,workbench.views.extensions.installed from workbench.view.extensions
2024-09-18 11:53:54.763 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2024-09-18 11:54:20.305 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2024-09-18 11:54:20.326 [info] Added views:workbench.views.extensions.installed,extensions.recommendedList in workbench.view.extensions
2024-09-18 11:54:21.695 [info] Removed views:extensions.recommendedList,workbench.views.extensions.installed from workbench.view.extensions
2024-09-18 11:54:21.720 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2024-09-18 11:54:37.429 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2024-09-18 11:54:37.449 [info] Added views:workbench.views.extensions.installed,extensions.recommendedList in workbench.view.extensions
2024-09-18 11:54:40.713 [info] Removed views:extensions.recommendedList,workbench.views.extensions.installed from workbench.view.extensions
2024-09-18 11:54:40.765 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2024-09-18 11:55:05.340 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2024-09-18 11:55:05.371 [info] Added views:workbench.views.extensions.installed,extensions.recommendedList in workbench.view.extensions
2024-09-18 11:55:06.745 [info] Removed views:extensions.recommendedList,workbench.views.extensions.installed from workbench.view.extensions
2024-09-18 11:55:06.775 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2024-09-18 11:56:22.762 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2024-09-18 11:56:22.787 [info] Added views:workbench.views.extensions.installed,extensions.recommendedList in workbench.view.extensions
2024-09-18 11:56:24.858 [info] Removed views:extensions.recommendedList,workbench.views.extensions.installed from workbench.view.extensions
2024-09-18 11:56:24.887 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
